ClaimId,PolicyId,VehicleId,DateOfLoss,DateReported,ReportedChannel,LossType,LossDescription,Location,Severity,ReserveEstimate,AssignedShopId,AssignedAdjusterId,Status,FraudFlag,SubrogationEligible
CLM-00001,POL-00182,VEH-00205,2025-11-27,2025-11-29,Phone,UM/UIM,Outside find wish know network fact talk country attorney subject little quickly conference your.,"Powersfurt, TX",Moderate,33855.8,SHOP-022,ADJ-015,Closed,False,False
CLM-00002,POL-00074,VEH-00198,2026-01-26,2026-01-26,Phone,Collision,Probably be century husband opportunity big understand within ask window full organization wrong but study.,"Ramirezshire, MO",Minor,3301.93,SHOP-005,ADJ-003,Open,False,False
CLM-00003,POL-00042,VEH-00011,2026-03-27,2026-04-01,Portal,Liability,Series song wall green project wear would memory challenge lawyer business.,"Crawfordberg, MO",Minor,9816.84,SHOP-002,ADJ-013,In Review,False,False
CLM-00004,POL-00092,VEH-00152,2025-08-20,2025-08-20,Email,Comprehensive,Scene store marriage ago condition painting force few.,"Port Charleshaven, OH",Moderate,23382.77,SHOP-018,ADJ-014,In Review,False,False
CLM-00005,POL-00179,VEH-00173,2026-06-03,2026-06-08,Phone,Collision,Society dark product make energy gas teacher national weight all involve trip himself fire.,"Ramoston, MO",Total Loss,14619.31,SHOP-013,ADJ-013,In Review,False,False
CLM-00006,POL-00004,VEH-00193,2025-08-21,2025-08-22,Phone,UM/UIM,News team field relationship man care resource maintain body.,"Kellerside, TX",Severe,24960.39,SHOP-021,ADJ-012,In Review,False,False
CLM-00007,POL-00199,VEH-00084,2026-03-19,2026-03-21,Email,UM/UIM,Live take media hot manager wife pay good within fly agreement and student give.,"Port Patriciamouth, TX",Minor,43341.41,SHOP-022,ADJ-013,In Review,False,False
CLM-00008,POL-00031,VEH-00214,2026-01-03,2026-01-03,Email,UM/UIM,Into yeah in argue each doctor fine be.,"Port Kevinmouth, WI",Minor,26612.18,SHOP-009,ADJ-013,Open,False,False
CLM-00009,POL-00085,VEH-00218,2025-10-13,2025-10-18,Email,Comprehensive,Mrs also price institution method inside after.,"Chapmanmouth, FL",Minor,34995.81,SHOP-011,ADJ-015,In Review,False,False
CLM-00010,POL-00170,VEH-00133,2026-01-02,2026-01-05,Phone,Liability,Hope occur space beyond push from me share fund pass guy job market suggest skin.,"West Joseph, AZ",Minor,10522.32,SHOP-023,ADJ-004,Open,False,False
CLM-00011,POL-00018,VEH-00141,2025-12-02,2025-12-05,Phone,UM/UIM,I difficult sea begin such behind front attack song little decide somebody prepare few sound.,"Alvaradomouth, WI",Minor,15469.25,SHOP-008,ADJ-013,Open,False,False
CLM-00012,POL-00056,VEH-00212,2025-10-25,2025-10-29,Email,Collision,I person law shake Congress affect reflect television officer defense while score level.,"Michaelton, FL",Minor,40778.74,SHOP-012,ADJ-011,In Review,False,False
CLM-00013,POL-00160,VEH-00007,2026-02-27,2026-02-27,Portal,Liability,Hair challenge character rate feel itself five store ask data.,"Adamsport, MI",Minor,24678.49,SHOP-004,ADJ-006,Open,False,False
CLM-00014,POL-00133,VEH-00210,2026-04-16,2026-04-20,Portal,UM/UIM,Either over image box court early still less nice.,"Hendersonton, MI",Moderate,23514.15,SHOP-010,ADJ-013,Closed,False,False
CLM-00015,POL-00043,VEH-00181,2025-10-26,2025-10-31,Phone,Collision,Evening ahead smile everyone nearly popular amount reveal site.,"Port Peggymouth, IN",Minor,19550.06,SHOP-021,ADJ-005,Open,False,False
CLM-00016,POL-00138,VEH-00143,2026-03-30,2026-04-04,Portal,Collision,Test too imagine guy price bed wall right cell born same.,"New Elizabethshire, OH",Moderate,32485.58,SHOP-005,ADJ-003,Open,False,False
CLM-00017,POL-00019,VEH-00205,2026-06-06,2026-06-07,Email,Liability,Edge this draw business southern forget once hope security door institution certain compare wide keep.,"Michelleton, OH",Moderate,41065.61,SHOP-019,ADJ-015,Open,False,True
CLM-00018,POL-00104,VEH-00081,2025-09-21,2025-09-23,Email,Collision,Nation little east everyone six certain little happy final population toward alone.,"Lake Samanthabury, OH",Minor,29150.89,SHOP-004,ADJ-013,In Review,False,False
