PolicyId,PolicyholderId,State,EffectiveDate,ExpirationDate,CoverageTypes,DeductibleCollision,DeductibleComprehensive,LiabilityLimitPerPerson,LiabilityLimitPerAccident,Endorsements,Status
POL-00001,PH-00001,OH,2026-07-06,2027-07-06,UM/UIM;Collision;Liability,1000,250,100000,300000,Roadside Assistance,Active
POL-00002,PH-00002,MI,2025-08-14,2026-08-14,Collision;UM/UIM;Liability,1000,250,250000,50000,Roadside Assistance,Active
POL-00003,PH-00003,OH,2026-07-19,2027-07-19,Collision;Liability;Comprehensive,250,500,250000,500000,Rental Reimbursement,Active
POL-00004,PH-00004,TX,2024-02-07,2025-02-06,Comprehensive;UM/UIM,1000,250,50000,500000,Custom Equipment,Active
POL-00005,PH-00005,MI,2025-03-07,2026-03-07,UM/UIM;Collision;Comprehensive,250,100,250000,500000,Rental Reimbursement,Active
POL-00006,PH-00006,IL,2025-10-10,2026-10-10,Comprehensive;Liability,250,500,250000,500000,Roadside Assistance,Active
POL-00007,PH-00007,FL,2026-01-15,2027-01-15,Liability;UM/UIM;Collision;Comprehensive,1000,500,250000,300000,None,Active
POL-00008,PH-00008,AZ,2023-09-02,2024-09-01,Liability;Comprehensive;UM/UIM,1000,500,25000,500000,Custom Equipment,Active
POL-00009,PH-00009,IL,2024-09-12,2025-09-12,Comprehensive;UM/UIM;Liability,500,100,250000,300000,Roadside Assistance,Active
POL-00010,PH-00010,MO,2024-04-14,2025-04-14,Comprehensive;Liability;UM/UIM;Collision,250,100,25000,100000,Roadside Assistance,Active
POL-00011,PH-00011,MO,2026-01-25,2027-01-25,UM/UIM;Liability;Comprehensive,1000,500,50000,500000,Custom Equipment,Active
POL-00012,PH-00012,OH,2023-11-04,2024-11-03,Comprehensive;UM/UIM;Collision;Liability,1000,1000,25000,300000,Roadside Assistance,Active
POL-00013,PH-00013,AZ,2024-03-20,2025-03-20,Liability;Collision;Comprehensive;UM/UIM,1500,500,50000,50000,Custom Equipment,Active
POL-00014,PH-00014,GA,2024-12-14,2025-12-14,Collision;Comprehensive;UM/UIM,500,250,25000,50000,Rental Reimbursement,Active
POL-00015,PH-00015,TX,2025-07-22,2026-07-22,UM/UIM;Collision,1500,250,250000,100000,Gap Coverage,Active
POL-00016,PH-00016,AZ,2026-07-17,2027-07-17,UM/UIM;Comprehensive;Liability;Collision,500,500,250000,500000,Roadside Assistance,Active
POL-00017,PH-00017,OH,2024-03-03,2025-03-03,UM/UIM;Comprehensive,1000,500,100000,500000,Rental Reimbursement,Active
POL-00018,PH-00018,WI,2025-02-11,2026-02-11,Comprehensive;UM/UIM,1000,250,100000,300000,Rental Reimbursement,Active
POL-00019,PH-00019,OH,2024-04-15,2025-04-15,UM/UIM;Collision;Comprehensive;Liability,1000,500,25000,500000,Gap Coverage,Active
POL-00020,PH-00020,MO,2023-10-27,2024-10-26,Collision;UM/UIM;Liability,1000,100,100000,500000,Roadside Assistance,Active
POL-00021,PH-00021,MI,2024-10-02,2025-10-02,UM/UIM;Liability;Comprehensive;Collision,1000,250,25000,100000,Rental Reimbursement,Active
POL-00022,PH-00022,OH,2025-02-17,2026-02-17,Collision;Comprehensive,500,100,25000,500000,Roadside Assistance,Active
POL-00023,PH-00023,FL,2025-05-18,2026-05-18,UM/UIM;Liability;Comprehensive;Collision,500,1000,250000,500000,Rental Reimbursement,Active
POL-00024,PH-00024,TX,2026-04-20,2027-04-20,Comprehensive;Collision;Liability,250,250,25000,100000,Gap Coverage,Active
POL-00025,PH-00025,FL,2025-02-09,2026-02-09,Liability;Collision,1500,250,100000,50000,None,Active
POL-00026,PH-00026,IL,2023-10-20,2024-10-19,Liability;Collision;Comprehensive,1500,1000,50000,500000,Roadside Assistance,Active
POL-00027,PH-00027,MO,2024-10-29,2025-10-29,Liability;Collision,500,1000,100000,100000,None,Active
POL-00028,PH-00028,MI,2024-11-01,2025-11-01,Comprehensive;Collision;Liability;UM/UIM,1500,1000,100000,50000,Gap Coverage,Active
POL-00029,PH-00029,MO,2025-11-05,2026-11-05,Liability;UM/UIM;Comprehensive;Collision,1000,250,25000,300000,Gap Coverage,Active
POL-00030,PH-00030,TX,2026-04-24,2027-04-24,UM/UIM;Collision,1000,500,25000,300000,Roadside Assistance,Active
POL-00031,PH-00031,WI,2023-12-03,2024-12-02,Collision;Liability;Comprehensive;UM/UIM,1000,250,250000,300000,None,Active
POL-00032,PH-00032,FL,2025-10-12,2026-10-12,Comprehensive;Collision;Liability;UM/UIM,500,1000,50000,500000,Custom Equipment,Active
POL-00033,PH-00033,AZ,2024-06-02,2025-06-02,UM/UIM;Comprehensive;Collision,500,250,25000,500000,Custom Equipment,Active
POL-00034,PH-00034,TX,2026-04-07,2027-04-07,Comprehensive;Liability;UM/UIM;Collision,500,250,50000,300000,Custom Equipment,Active
POL-00035,PH-00035,IN,2024-05-16,2025-05-16,Liability;Comprehensive;UM/UIM,1500,100,250000,50000,Gap Coverage,Active
POL-00036,PH-00036,IL,2023-12-30,2024-12-29,UM/UIM;Collision,250,1000,100000,50000,Gap Coverage,Active
POL-00037,PH-00037,IN,2026-02-21,2027-02-21,Liability;Comprehensive;UM/UIM,250,100,250000,300000,None,Active
POL-00038,PH-00038,TX,2024-04-21,2025-04-21,Liability;UM/UIM;Collision;Comprehensive,1000,1000,50000,100000,Gap Coverage,Active
POL-00039,PH-00039,GA,2025-11-27,2026-11-27,UM/UIM;Collision;Comprehensive,1500,100,50000,300000,None,Active
POL-00040,PH-00040,FL,2024-12-19,2025-12-19,UM/UIM;Comprehensive,500,250,25000,50000,Roadside Assistance,Active
