PolicyId,VehicleId
POL-00001,VEH-00167
POL-00002,VEH-00053
POL-00003,VEH-00016
POL-00004,VEH-00193
POL-00005,VEH-00146
POL-00005,VEH-00127
POL-00006,VEH-00133
POL-00007,VEH-00034
POL-00008,VEH-00013
POL-00009,VEH-00020
POL-00010,VEH-00073
POL-00011,VEH-00192
POL-00012,VEH-00154
POL-00013,VEH-00120
POL-00014,VEH-00157
POL-00014,VEH-00107
POL-00015,VEH-00028
POL-00015,VEH-00151
POL-00016,VEH-00112
POL-00017,VEH-00173
POL-00017,VEH-00043
POL-00018,VEH-00141
POL-00018,VEH-00061
POL-00019,VEH-00205
POL-00020,VEH-00102
POL-00021,VEH-00195
POL-00021,VEH-00177
POL-00022,VEH-00095
POL-00023,VEH-00199
POL-00024,VEH-00109
POL-00024,VEH-00174
POL-00025,VEH-00153
POL-00025,VEH-00060
POL-00026,VEH-00171
POL-00026,VEH-00201
POL-00027,VEH-00064
POL-00028,VEH-00027
POL-00029,VEH-00113
POL-00030,VEH-00159
POL-00031,VEH-00078
POL-00031,VEH-00214
POL-00032,VEH-00072
POL-00032,VEH-00080
POL-00033,VEH-00004
POL-00034,VEH-00084
POL-00035,VEH-00035
POL-00036,VEH-00191
POL-00037,VEH-00041
POL-00037,VEH-00187
POL-00038,VEH-00066
POL-00038,VEH-00051
POL-00039,VEH-00103
POL-00040,VEH-00070
POL-00040,VEH-00024
POL-00041,VEH-00008
POL-00042,VEH-00011
POL-00043,VEH-00181
POL-00044,VEH-00142
POL-00045,VEH-00208
POL-00046,VEH-00190
POL-00046,VEH-00179
POL-00047,VEH-00131
POL-00048,VEH-00139
POL-00049,VEH-00093
POL-00050,VEH-00030
POL-00050,VEH-00099
POL-00051,VEH-00114
POL-00052,VEH-00083
POL-00053,VEH-00156
POL-00053,VEH-00135
POL-00054,VEH-00124
POL-00054,VEH-00075
POL-00055,VEH-00018
POL-00055,VEH-00117
POL-00056,VEH-00212
POL-00057,VEH-00123
POL-00057,VEH-00166
POL-00058,VEH-00059
POL-00059,VEH-00038
POL-00060,VEH-00202
POL-00061,VEH-00006
POL-00062,VEH-00009
