VehicleId,VIN,Make,Model,Year,MarketValue,TelematicsScore,PriorDamageFlag
VEH-00001,NDYMTVGWACORLHXCD,Subaru,Outback,2015,43455.12,62.0,False
VEH-00002,QLGIFAHVDJBLEGXLS,Chevrolet,Silverado,2025,12156.45,97.3,True
VEH-00003,LLUIGYQMMUGYAMSWP,Toyota,Camry,2018,18170.59,60.8,False
VEH-00004,RZVSCZIIAMSVGTSJU,Ford,F-150,2022,39795.11,82.0,False
VEH-00005,TVJONMNNTSRWRITPL,Tesla,Model 3,2020,16718.3,83.7,False
VEH-00006,GISOUTHWWJELKQTAR,Honda,Accord,2017,53377.16,64.2,True
VEH-00007,VISBZAHGBYJDQDMRW,Tesla,Model 3,2024,40157.98,97.4,False
VEH-00008,YKSRQJDSYSNWICWCG,Chevrolet,Silverado,2016,36236.5,92.4,False
VEH-00009,NRVJOVPJYPGYYZSSS,Tesla,Model 3,2025,36618.93,64.7,False
VEH-00010,QDYYAYRUJDAVQMNXC,Toyota,Camry,2020,33506.28,85.8,True
VEH-00011,OOTTPXWLIVMMXUMSC,Nissan,Altima,2015,48080.48,92.1,False
VEH-00012,LRELLVGHYCBRJQIKL,Nissan,Altima,2025,50012.45,77.9,False
VEH-00013,QAVDTJCJUMDXONQTF,Ford,F-150,2023,53411.79,70.5,False
VEH-00014,YKJWEYTUHOLHEYGKA,BMW,3 Series,2022,30384.19,92.2,False
VEH-00015,IIZFWONQVVXSNWNHE,Nissan,Altima,2018,47213.63,63.4,False
VEH-00016,JWPAHQWCPPNNPCRUY,Chevrolet,Silverado,2022,35213.08,86.1,False
VEH-00017,YHYQIUSBHXXGZGCFC,Subaru,Outback,2020,17364.63,68.3,False
VEH-00018,SPMUGFGKXIIAOENQO,Nissan,Altima,2019,49494.72,87.3,False
VEH-00019,XNRBGNISVXBPEVRJB,Toyota,Camry,2023,52610.88,63.3,False
VEH-00020,DTVCFEDLYQJEKOQAY,Subaru,Outback,2023,43875.57,86.9,False
VEH-00021,COZBUBYRHIAPUNEWV,Subaru,Outback,2022,45474.91,63.6,False
VEH-00022,LCSEWGGSYRTMFSWCY,Chevrolet,Silverado,2019,39542.16,74.4,False
VEH-00023,ZQBEKIOIVZYZISOJT,Nissan,Altima,2021,54845.05,81.5,False
VEH-00024,RYUPXAJJJHCAKMZIJ,Subaru,Outback,2019,23104.66,69.0,False
VEH-00025,FTNVVUWNAPGJKLONQ,Nissan,Altima,2016,43172.53,97.1,False
VEH-00026,MHLQZKDWJDPJESQEQ,Chevrolet,Silverado,2018,42975.81,70.8,False
VEH-00027,GMULFVWIQPPGSNEMU,BMW,3 Series,2024,22017.94,63.9,False
VEH-00028,FCVNQTSLJKKXZUBKA,Chevrolet,Silverado,2020,17254.31,60.6,False
VEH-00029,UPYOTVPBRXIRUVEDC,Tesla,Model 3,2015,53817.57,81.6,False
VEH-00030,WXTFJGLPMFRIIMQUO,Ford,F-150,2025,48949.22,79.1,False
VEH-00031,EUEBGOBLLZXLNCJQI,Hyundai,Elantra,2019,30592.26,77.2,False
